"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_04 Verify the 'Components' category dropdown options navigation","779","testComponentsDropdownNavigation","Smoke","Sun May 18 17:49:15 GMT 2025","passed","Sun May 18 17:49:16 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","2033","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:49:30 GMT 2025","passed","Sun May 18 17:49:32 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item quantity via cart preview","1350","testAddedItemQuantityViaCartPreview","Regression","Sun May 18 17:50:44 GMT 2025","passed","Sun May 18 17:50:45 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Chrome","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the search field visibility","32","testSearchFieldVisibility","Regression","Sun May 18 17:50:48 GMT 2025","passed","Sun May 18 17:50:48 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Chrome","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the opened product name","1846","testProductName","Regression","Sun May 18 17:50:39 GMT 2025","passed","Sun May 18 17:50:41 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Chrome","com.opencart.test.ProductTest","testProductName"
"TC_02 Verify the Store navigation menu options via dropdown","2160","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:49:44 GMT 2025","passed","Sun May 18 17:49:46 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1890","testComponentsDropdownNavigation","Smoke","Sun May 18 17:50:17 GMT 2025","passed","Sun May 18 17:50:19 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product name","1789","testProductName","Regression","Sun May 18 17:51:12 GMT 2025","passed","Sun May 18 17:51:14 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testProductName"
"TC_04 Verify the 'Components' category dropdown options navigation","1346","testComponentsDropdownNavigation","Smoke","Sun May 18 17:49:48 GMT 2025","passed","Sun May 18 17:49:49 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","1954","testComponentsDropdownNavigation","Smoke","Sun May 18 17:49:10 GMT 2025","passed","Sun May 18 17:49:12 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item name via cart preview","1297","testAddedItemNameViaCartPreview","Regression","Sun May 18 17:50:43 GMT 2025","passed","Sun May 18 17:50:45 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Chrome","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_02 Verify the Store navigation menu options via dropdown","1924","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:50:16 GMT 2025","passed","Sun May 18 17:50:18 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","1497","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:49:10 GMT 2025","passed","Sun May 18 17:49:11 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","939","testComponentsDropdownNavigation","Smoke","Sun May 18 17:49:55 GMT 2025","passed","Sun May 18 17:49:56 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","2441","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:50:15 GMT 2025","passed","Sun May 18 17:50:18 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item name via cart","1838","testAddedItemNameViaCart","Regression","Sun May 18 17:50:59 GMT 2025","passed","Sun May 18 17:51:01 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the login page has the supposed sidebar menu options","545","testSidebarMenuOptions","Regression","Sun May 18 17:50:51 GMT 2025","passed","Sun May 18 17:50:52 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Chrome","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the opened product breadcrumb path","1601","testProductPath","Regression","Sun May 18 17:50:39 GMT 2025","passed","Sun May 18 17:50:41 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Chrome","com.opencart.test.ProductTest","testProductPath"
"Verify the added item name via cart","1734","testAddedItemNameViaCart","Regression","Sun May 18 17:50:40 GMT 2025","passed","Sun May 18 17:50:42 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Chrome","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_03 Verify the Store navigation menu options without dropdown","1363","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:49:10 GMT 2025","passed","Sun May 18 17:49:11 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1274","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:49:49 GMT 2025","passed","Sun May 18 17:49:50 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the login page has the supposed sidebar menu options","721","testSidebarMenuOptions","Regression","Sun May 18 17:51:17 GMT 2025","passed","Sun May 18 17:51:18 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Firefox","com.opencart.test.LoginTest","testSidebarMenuOptions"
"TC_04 Verify the 'Components' category dropdown options navigation","827","testComponentsDropdownNavigation","Smoke","Sun May 18 17:50:22 GMT 2025","passed","Sun May 18 17:50:23 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item name via cart preview","1545","testAddedItemNameViaCartPreview","Regression","Sun May 18 17:51:04 GMT 2025","passed","Sun May 18 17:51:05 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
