"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_04 Verify the 'Components' category dropdown options navigation","868","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:32:23 GMT 2025","passed","Wed May 14 20:32:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the login page has the supposed sidebar menu options","537","testSidebarMenuOptions","Surefire suite","Wed May 14 20:33:19 GMT 2025","passed","Wed May 14 20:33:20 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the opened product name","1741","testProductName","Surefire suite","Wed May 14 20:32:54 GMT 2025","passed","Wed May 14 20:32:56 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_03 Verify the Store navigation menu options without dropdown","771","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 20:32:35 GMT 2025","passed","Wed May 14 20:32:35 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the search field visibility","18","testSearchFieldVisibility","Surefire suite","Wed May 14 20:33:07 GMT 2025","passed","Wed May 14 20:33:07 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the opened product breadcrumb path","1750","testProductPath","Surefire suite","Wed May 14 20:32:59 GMT 2025","passed","Wed May 14 20:33:01 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
"Verify the added item quantity via cart preview","1901","testAddedItemQuantityViaCartPreview","Surefire suite","Wed May 14 20:32:17 GMT 2025","passed","Wed May 14 20:32:19 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the Store home page is opened via current URL and the page title","11","testStoreHomePageURLAndTitle","Surefire suite","Wed May 14 20:32:39 GMT 2025","passed","Wed May 14 20:32:39 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the Apple Cinema minimal quantity warning message","1839","testAppleCinemaWarningMessage","Surefire suite","Wed May 14 20:32:49 GMT 2025","passed","Wed May 14 20:32:51 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the added item name via cart","1595","testAddedItemNameViaCart","Surefire suite","Wed May 14 20:32:03 GMT 2025","passed","Wed May 14 20:32:05 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_04 Verify the 'Components' category dropdown options navigation","901","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:32:23 GMT 2025","passed","Wed May 14 20:32:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","853","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 20:32:29 GMT 2025","passed","Wed May 14 20:32:30 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart","1364","testAddedItemQuantityViaCart","Surefire suite","Wed May 14 20:32:12 GMT 2025","passed","Wed May 14 20:32:13 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"TC_02 Verify the Store navigation menu options via dropdown","880","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 20:32:29 GMT 2025","passed","Wed May 14 20:32:30 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","855","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 20:32:30 GMT 2025","passed","Wed May 14 20:32:30 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","719","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 20:32:34 GMT 2025","passed","Wed May 14 20:32:35 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify a registered user can log in","1414","testLogin","Surefire suite","Wed May 14 20:33:15 GMT 2025","passed","Wed May 14 20:33:16 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testLogin"
"TC_03 Verify the Store navigation menu options without dropdown","680","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 20:32:34 GMT 2025","passed","Wed May 14 20:32:35 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the search result page heading","800","testSearchResultInPageHeading","Surefire suite","Wed May 14 20:33:10 GMT 2025","passed","Wed May 14 20:33:11 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_02 Verify the Store navigation menu options via dropdown","1213","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 20:32:29 GMT 2025","passed","Wed May 14 20:32:30 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item name via cart preview","1329","testAddedItemNameViaCartPreview","Surefire suite","Wed May 14 20:32:08 GMT 2025","passed","Wed May 14 20:32:09 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_04 Verify the 'Components' category dropdown options navigation","815","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:32:23 GMT 2025","passed","Wed May 14 20:32:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the successful file uploading on the Apple Cinema page","3498","testAppleCinemaFileUploading","Surefire suite","Wed May 14 20:32:43 GMT 2025","passed","Wed May 14 20:32:46 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
