"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 18 21:50:15 GMT 2025","Sun May 18 21:50:17 GMT 2025","1538","Smoke","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Sun May 18 21:50:26 GMT 2025","Sun May 18 21:50:28 GMT 2025","2146","Smoke","Smoke Test Run on Firefox","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview","testAddedItemNameViaCartPreview","Verify the added item name via cart preview"
"passed","Sun May 18 21:49:31 GMT 2025","Sun May 18 21:49:32 GMT 2025","1197","Smoke","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Sun May 18 21:50:03 GMT 2025","Sun May 18 21:50:06 GMT 2025","3155","Smoke","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Sun May 18 21:50:25 GMT 2025","Sun May 18 21:50:25 GMT 2025","64","Smoke","Smoke Test Run on Firefox","com.opencart.test.SearchTest","com.opencart.test.SearchTest","testSearchFieldVisibility","testSearchFieldVisibility","Verify the search field visibility"
"passed","Sun May 18 21:49:31 GMT 2025","Sun May 18 21:49:33 GMT 2025","2034","Smoke","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Sun May 18 21:49:31 GMT 2025","Sun May 18 21:49:33 GMT 2025","2120","Smoke","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Sun May 18 21:50:31 GMT 2025","Sun May 18 21:50:34 GMT 2025","2201","Smoke","Smoke Test Run on Firefox","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview","testAddedItemQuantityViaCartPreview","Verify the added item quantity via cart preview"
"passed","Sun May 18 21:50:10 GMT 2025","Sun May 18 21:50:13 GMT 2025","2779","Smoke","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Sun May 18 21:49:37 GMT 2025","Sun May 18 21:49:39 GMT 2025","1595","Smoke","Smoke Test Run on Chrome","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemNameViaCart","testAddedItemNameViaCart","Verify the added item name via cart"
"passed","Sun May 18 21:49:31 GMT 2025","Sun May 18 21:49:32 GMT 2025","1237","Smoke","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Sun May 18 21:50:34 GMT 2025","Sun May 18 21:50:36 GMT 2025","1588","Smoke","Smoke Test Run on Firefox","com.opencart.test.ProductTest","com.opencart.test.ProductTest","testProductName","testProductName","Verify the opened product name"
"passed","Sun May 18 21:51:01 GMT 2025","Sun May 18 21:51:03 GMT 2025","2231","Smoke","Smoke Test Run on Edge","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Sun May 18 21:50:35 GMT 2025","Sun May 18 21:50:37 GMT 2025","1533","Smoke","Smoke Test Run on Firefox","com.opencart.test.LoginTest","com.opencart.test.LoginTest","testLogin","testLogin","Verify a registered user can log in"
"passed","Sun May 18 21:50:30 GMT 2025","Sun May 18 21:50:33 GMT 2025","2263","Smoke","Smoke Test Run on Firefox","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemQuantityViaCart","testAddedItemQuantityViaCart","Verify the added item quantity via cart"
"passed","Sun May 18 21:51:12 GMT 2025","Sun May 18 21:51:14 GMT 2025","1789","Smoke","Smoke Test Run on Edge","com.opencart.test.ProductTest","com.opencart.test.ProductTest","testProductName","testProductName","Verify the opened product name"
"passed","Sun May 18 21:51:00 GMT 2025","Sun May 18 21:51:02 GMT 2025","1825","Smoke","Smoke Test Run on Edge","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Sun May 18 21:49:37 GMT 2025","Sun May 18 21:49:39 GMT 2025","1678","Smoke","Smoke Test Run on Chrome","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview","testAddedItemNameViaCartPreview","Verify the added item name via cart preview"
"passed","Sun May 18 21:51:01 GMT 2025","Sun May 18 21:51:02 GMT 2025","1145","Smoke","Smoke Test Run on Edge","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown","testNavigationBarMenuWithoutDropdown","TC_03 Verify the Store navigation menu options without dropdown"
"passed","Sun May 18 21:50:15 GMT 2025","Sun May 18 21:50:17 GMT 2025","2082","Smoke","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown","testNavigationBarMenuWithDropdown","TC_02 Verify the Store navigation menu options via dropdown"
"passed","Sun May 18 21:49:31 GMT 2025","Sun May 18 21:49:33 GMT 2025","2195","Smoke","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation","testComponentsDropdownNavigation","TC_04 Verify the 'Components' category dropdown options navigation"
"passed","Sun May 18 21:49:42 GMT 2025","Sun May 18 21:49:43 GMT 2025","1647","Smoke","Smoke Test Run on Chrome","com.opencart.test.CartTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview","testAddedItemQuantityViaCartPreview","Verify the added item quantity via cart preview"
