"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","973","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 19:48:52 GMT 2025","passed","Wed May 14 19:48:53 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","761","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 19:48:57 GMT 2025","passed","Wed May 14 19:48:57 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the message when the search term does not match any products","697","testMessageForEmptySearchResult","Surefire suite","Wed May 14 19:49:25 GMT 2025","passed","Wed May 14 19:49:25 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify the Store home page is opened via current URL and the page title","10","testStoreHomePageURLAndTitle","Surefire suite","Wed May 14 19:49:01 GMT 2025","passed","Wed May 14 19:49:02 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the added item name via cart preview","1928","testAddedItemNameViaCartPreview","Surefire suite","Wed May 14 19:48:30 GMT 2025","passed","Wed May 14 19:48:32 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the login page has the supposed sidebar menu options","614","testSidebarMenuOptions","Surefire suite","Wed May 14 19:49:41 GMT 2025","passed","Wed May 14 19:49:41 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the Apple Cinema minimal quantity warning message","2256","testAppleCinemaWarningMessage","Surefire suite","Wed May 14 19:49:10 GMT 2025","passed","Wed May 14 19:49:12 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_02 Verify the Store navigation menu options via dropdown","1000","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 19:48:52 GMT 2025","passed","Wed May 14 19:48:53 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","1269","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 19:48:52 GMT 2025","passed","Wed May 14 19:48:53 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","546","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 19:48:56 GMT 2025","passed","Wed May 14 19:48:57 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
