"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the search result page heading","813","testSearchResultInPageHeading","Surefire suite","Mon May 12 22:01:08 GMT 2025","passed","Mon May 12 22:01:09 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the message when the search term does not match any products","549","testMessageForEmptySearchResult","Surefire suite","Mon May 12 22:01:00 GMT 2025","passed","Mon May 12 22:01:01 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify the added item name via cart preview","1888","testAddedItemNameViaCartPreview","Surefire suite","Mon May 12 22:01:32 GMT 2025","passed","Mon May 12 22:01:34 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the added item name via cart","1447","testAddedItemNameViaCart","Surefire suite","Mon May 12 22:01:28 GMT 2025","passed","Mon May 12 22:01:29 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_02 Verify the Store navigation menu options via dropdown","857","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:00:24 GMT 2025","passed","Mon May 12 22:00:25 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","846","testComponentsDropdownNavigation","Surefire suite","Mon May 12 21:59:59 GMT 2025","passed","Mon May 12 22:00:00 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","827","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:00:28 GMT 2025","passed","Mon May 12 22:00:29 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","613","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:00:39 GMT 2025","passed","Mon May 12 22:00:40 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","639","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:00:43 GMT 2025","passed","Mon May 12 22:00:43 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the Apple Cinema minimal quantity warning message","1933","testAppleCinemaWarningMessage","Surefire suite","Mon May 12 22:01:12 GMT 2025","passed","Mon May 12 22:01:14 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_03 Verify the Store navigation menu options without dropdown","729","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:00:47 GMT 2025","passed","Mon May 12 22:00:47 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","684","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:00:36 GMT 2025","passed","Mon May 12 22:00:36 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","806","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:00:08 GMT 2025","passed","Mon May 12 22:00:08 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the login page has the supposed sidebar menu options","570","testSidebarMenuOptions","Surefire suite","Mon May 12 22:01:54 GMT 2025","passed","Mon May 12 22:01:54 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testSidebarMenuOptions"
"TC_04 Verify the 'Components' category dropdown options navigation","804","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:00:12 GMT 2025","passed","Mon May 12 22:00:12 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the Store home page is opened via current URL and the page title","9","testStoreHomePageURLAndTitle","Surefire suite","Mon May 12 22:00:51 GMT 2025","passed","Mon May 12 22:00:51 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify a registered user can log in","1959","testLogin","Surefire suite","Mon May 12 22:01:48 GMT 2025","passed","Mon May 12 22:01:50 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testLogin"
"Verify the successful file uploading on the Apple Cinema page","3040","testAppleCinemaFileUploading","Surefire suite","Mon May 12 22:00:54 GMT 2025","passed","Mon May 12 22:00:57 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"TC_04 Verify the 'Components' category dropdown options navigation","865","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:00:03 GMT 2025","passed","Mon May 12 22:00:04 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search field visibility","24","testSearchFieldVisibility","Surefire suite","Mon May 12 22:01:04 GMT 2025","passed","Mon May 12 22:01:05 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchFieldVisibility"
"TC_02 Verify the Store navigation menu options via dropdown","774","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:00:32 GMT 2025","passed","Mon May 12 22:00:32 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","1191","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:00:19 GMT 2025","passed","Mon May 12 22:00:21 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart","1485","testAddedItemQuantityViaCart","Surefire suite","Mon May 12 22:01:38 GMT 2025","passed","Mon May 12 22:01:39 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the opened product name","1783","testProductName","Surefire suite","Mon May 12 22:01:17 GMT 2025","passed","Mon May 12 22:01:19 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_04 Verify the 'Components' category dropdown options navigation","751","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:00:15 GMT 2025","passed","Mon May 12 22:00:16 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product breadcrumb path","1815","testProductPath","Surefire suite","Mon May 12 22:01:22 GMT 2025","passed","Mon May 12 22:01:24 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
"Verify the added item quantity via cart preview","1857","testAddedItemQuantityViaCartPreview","Surefire suite","Mon May 12 22:01:43 GMT 2025","passed","Mon May 12 22:01:44 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
