"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the added item name via cart","1692","testAddedItemNameViaCart","Surefire suite","Wed May 14 21:37:03 GMT 2025","passed","Wed May 14 21:37:04 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the message when the search term does not match any products","617","testMessageForEmptySearchResult","Surefire suite","Wed May 14 21:38:02 GMT 2025","passed","Wed May 14 21:38:03 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"TC_04 Verify the 'Components' category dropdown options navigation","822","testComponentsDropdownNavigation","Surefire suite","Wed May 14 21:37:23 GMT 2025","passed","Wed May 14 21:37:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product name","2373","testProductName","Surefire suite","Wed May 14 21:37:52 GMT 2025","passed","Wed May 14 21:37:54 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_03 Verify the Store navigation menu options without dropdown","730","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 21:37:32 GMT 2025","passed","Wed May 14 21:37:33 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1122","testComponentsDropdownNavigation","Surefire suite","Wed May 14 21:37:23 GMT 2025","passed","Wed May 14 21:37:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","840","testComponentsDropdownNavigation","Surefire suite","Wed May 14 21:37:23 GMT 2025","passed","Wed May 14 21:37:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search result page heading","745","testSearchResultInPageHeading","Surefire suite","Wed May 14 21:38:10 GMT 2025","passed","Wed May 14 21:38:10 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the successful file uploading on the Apple Cinema page","2959","testAppleCinemaFileUploading","Surefire suite","Wed May 14 21:37:40 GMT 2025","passed","Wed May 14 21:37:43 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"Verify the opened product breadcrumb path","1781","testProductPath","Surefire suite","Wed May 14 21:37:57 GMT 2025","passed","Wed May 14 21:37:59 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
