"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Product page","0","0","10","0","0"
"","","Login","0","0","6","0","0"
"","","Cart","0","0","6","0","0"
"","","Cart preview","0","0","6","0","0"
"","","Search field","0","0","6","0","0"
