"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the successful file uploading on the Apple Cinema page","2891","testAppleCinemaFileUploading","Surefire suite","Wed May 14 20:25:04 GMT 2025","passed","Wed May 14 20:25:07 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"TC_04 Verify the 'Components' category dropdown options navigation","885","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:24:47 GMT 2025","passed","Wed May 14 20:24:48 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","654","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 20:24:57 GMT 2025","passed","Wed May 14 20:24:57 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","732","testNavigationBarMenuWithoutDropdown","Surefire suite","Wed May 14 20:24:57 GMT 2025","passed","Wed May 14 20:24:58 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item quantity via cart","1394","testAddedItemQuantityViaCart","Surefire suite","Wed May 14 20:24:38 GMT 2025","passed","Wed May 14 20:24:39 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the search result page heading","775","testSearchResultInPageHeading","Surefire suite","Wed May 14 20:25:32 GMT 2025","passed","Wed May 14 20:25:33 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_04 Verify the 'Components' category dropdown options navigation","916","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:24:47 GMT 2025","passed","Wed May 14 20:24:48 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart preview","1320","testAddedItemQuantityViaCartPreview","Surefire suite","Wed May 14 20:24:42 GMT 2025","passed","Wed May 14 20:24:43 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"TC_04 Verify the 'Components' category dropdown options navigation","939","testComponentsDropdownNavigation","Surefire suite","Wed May 14 20:24:47 GMT 2025","passed","Wed May 14 20:24:48 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","844","testNavigationBarMenuWithDropdown","Surefire suite","Wed May 14 20:24:52 GMT 2025","passed","Wed May 14 20:24:53 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
