"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","1810","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 16:31:49 GMT 2025","passed","Sun May 18 16:31:50 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify a registered user can log in","2352","testLogin","Regression","Sun May 18 16:34:19 GMT 2025","passed","Sun May 18 16:34:21 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Edge","com.opencart.test.LoginTest","testLogin"
"TC_03 Verify the Store navigation menu options without dropdown","1041","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 16:32:08 GMT 2025","passed","Sun May 18 16:32:09 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1813","testComponentsDropdownNavigation","Smoke","Sun May 18 16:31:25 GMT 2025","passed","Sun May 18 16:31:26 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2311","testComponentsDropdownNavigation","Smoke","Sun May 18 16:31:25 GMT 2025","passed","Sun May 18 16:31:27 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2431","testComponentsDropdownNavigation","Smoke","Sun May 18 16:32:57 GMT 2025","passed","Sun May 18 16:32:59 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1903","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 16:31:51 GMT 2025","passed","Sun May 18 16:31:53 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item name via cart","2038","testAddedItemNameViaCart","Regression","Sun May 18 16:33:44 GMT 2025","passed","Sun May 18 16:33:46 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_04 Verify the 'Components' category dropdown options navigation","1608","testComponentsDropdownNavigation","Smoke","Sun May 18 16:32:07 GMT 2025","passed","Sun May 18 16:32:08 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart preview","1919","testAddedItemQuantityViaCartPreview","Regression","Sun May 18 16:33:52 GMT 2025","passed","Sun May 18 16:33:54 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"TC_04 Verify the 'Components' category dropdown options navigation","839","testComponentsDropdownNavigation","Smoke","Sun May 18 16:31:32 GMT 2025","passed","Sun May 18 16:31:33 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","1906","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 16:32:57 GMT 2025","passed","Sun May 18 16:32:59 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart preview","1688","testAddedItemQuantityViaCartPreview","Regression","Sun May 18 16:33:28 GMT 2025","passed","Sun May 18 16:33:29 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Chrome","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the opened product breadcrumb path","1883","testProductPath","Regression","Sun May 18 16:33:59 GMT 2025","passed","Sun May 18 16:34:00 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testProductPath"
"Verify the added item quantity via cart","1938","testAddedItemQuantityViaCart","Regression","Sun May 18 16:33:50 GMT 2025","passed","Sun May 18 16:33:52 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the login page has the supposed sidebar menu options","588","testSidebarMenuOptions","Regression","Sun May 18 16:33:34 GMT 2025","passed","Sun May 18 16:33:34 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Chrome","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the opened product breadcrumb path","1732","testProductPath","Regression","Sun May 18 16:34:18 GMT 2025","passed","Sun May 18 16:34:20 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Edge","com.opencart.test.ProductTest","testProductPath"
"Verify the message when the search term does not match any products","650","testMessageForEmptySearchResult","Regression","Sun May 18 16:33:44 GMT 2025","passed","Sun May 18 16:33:44 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Firefox","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"TC_02 Verify the Store navigation menu options via dropdown","2517","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 16:32:56 GMT 2025","passed","Sun May 18 16:32:59 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
