"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","649","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:27:17 GMT 2025","passed","Mon May 12 22:27:18 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","685","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:27:11 GMT 2025","passed","Mon May 12 22:27:11 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search result page heading","636","testSearchResultInPageHeading","Surefire suite","Mon May 12 22:27:52 GMT 2025","passed","Mon May 12 22:27:53 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_03 Verify the Store navigation menu options without dropdown","512","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:27:30 GMT 2025","passed","Mon May 12 22:27:30 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item name via cart preview","1186","testAddedItemNameViaCartPreview","Surefire suite","Mon May 12 22:28:10 GMT 2025","passed","Mon May 12 22:28:11 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the Apple Cinema minimal quantity warning message","1441","testAppleCinemaWarningMessage","Surefire suite","Mon May 12 22:27:55 GMT 2025","passed","Mon May 12 22:27:57 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the opened product name","1350","testProductName","Surefire suite","Mon May 12 22:27:59 GMT 2025","passed","Mon May 12 22:28:00 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_03 Verify the Store navigation menu options without dropdown","552","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:27:33 GMT 2025","passed","Mon May 12 22:27:33 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the successful file uploading on the Apple Cinema page","2785","testAppleCinemaFileUploading","Surefire suite","Mon May 12 22:27:42 GMT 2025","passed","Mon May 12 22:27:44 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"Verify the opened product breadcrumb path","1301","testProductPath","Surefire suite","Mon May 12 22:28:03 GMT 2025","passed","Mon May 12 22:28:04 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","724","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:27:23 GMT 2025","passed","Mon May 12 22:27:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the message when the search term does not match any products","891","testMessageForEmptySearchResult","Surefire suite","Mon May 12 22:27:47 GMT 2025","passed","Mon May 12 22:27:47 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"TC_04 Verify the 'Components' category dropdown options navigation","679","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:27:04 GMT 2025","passed","Mon May 12 22:27:05 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","552","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:27:36 GMT 2025","passed","Mon May 12 22:27:36 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1206","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:26:57 GMT 2025","passed","Mon May 12 22:26:58 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart","1096","testAddedItemQuantityViaCart","Surefire suite","Mon May 12 22:28:14 GMT 2025","passed","Mon May 12 22:28:15 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the search field visibility","21","testSearchFieldVisibility","Surefire suite","Mon May 12 22:27:50 GMT 2025","passed","Mon May 12 22:27:50 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the Store home page is opened via current URL and the page title","11","testStoreHomePageURLAndTitle","Surefire suite","Mon May 12 22:27:39 GMT 2025","passed","Mon May 12 22:27:39 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_04 Verify the 'Components' category dropdown options navigation","728","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:27:00 GMT 2025","passed","Mon May 12 22:27:01 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart preview","1198","testAddedItemQuantityViaCartPreview","Surefire suite","Mon May 12 22:28:18 GMT 2025","passed","Mon May 12 22:28:19 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"TC_04 Verify the 'Components' category dropdown options navigation","656","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:27:08 GMT 2025","passed","Mon May 12 22:27:08 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
