"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","2140","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:33:23 GMT 2025","passed","Sun May 18 17:33:25 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","835","testComponentsDropdownNavigation","Smoke","Sun May 18 17:33:58 GMT 2025","passed","Sun May 18 17:33:59 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the Store home page is opened via current URL and the page title","94","testStoreHomePageURLAndTitle","Smoke","Sun May 18 17:32:43 GMT 2025","passed","Sun May 18 17:32:43 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the added item quantity via cart","1582","testAddedItemQuantityViaCart","Regression","Sun May 18 17:35:09 GMT 2025","passed","Sun May 18 17:35:11 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"TC_03 Verify the Store navigation menu options without dropdown","1764","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:33:20 GMT 2025","passed","Sun May 18 17:33:22 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify a registered user can log in","1682","testLogin","Regression","Sun May 18 17:34:28 GMT 2025","passed","Sun May 18 17:34:30 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Chrome","com.opencart.test.LoginTest","testLogin"
"TC_03 Verify the Store navigation menu options without dropdown","1443","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:32:43 GMT 2025","passed","Sun May 18 17:32:45 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","2028","testComponentsDropdownNavigation","Smoke","Sun May 18 17:33:24 GMT 2025","passed","Sun May 18 17:33:27 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","1963","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:33:52 GMT 2025","passed","Sun May 18 17:33:54 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Store home page is opened via current URL and the page title","57","testStoreHomePageURLAndTitle","Smoke","Sun May 18 17:33:53 GMT 2025","passed","Sun May 18 17:33:53 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_04 Verify the 'Components' category dropdown options navigation","2240","testComponentsDropdownNavigation","Smoke","Sun May 18 17:33:53 GMT 2025","passed","Sun May 18 17:33:55 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1843","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:33:52 GMT 2025","passed","Sun May 18 17:33:54 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1922","testComponentsDropdownNavigation","Smoke","Sun May 18 17:33:53 GMT 2025","passed","Sun May 18 17:33:55 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search field visibility","28","testSearchFieldVisibility","Regression","Sun May 18 17:34:28 GMT 2025","passed","Sun May 18 17:34:28 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Chrome","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the Apple Cinema minimal quantity warning message","2412","testAppleCinemaWarningMessage","Regression","Sun May 18 17:34:50 GMT 2025","passed","Sun May 18 17:34:52 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the added item name via cart","2026","testAddedItemNameViaCart","Regression","Sun May 18 17:34:40 GMT 2025","passed","Sun May 18 17:34:42 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the opened product breadcrumb path","1987","testProductPath","Regression","Sun May 18 17:35:16 GMT 2025","passed","Sun May 18 17:35:18 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Edge","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","2183","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:33:53 GMT 2025","passed","Sun May 18 17:33:55 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","1814","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:33:24 GMT 2025","passed","Sun May 18 17:33:25 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart","1729","testAddedItemQuantityViaCart","Regression","Sun May 18 17:34:48 GMT 2025","passed","Sun May 18 17:34:49 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the Store home page is opened via current URL and the page title","91","testStoreHomePageURLAndTitle","Smoke","Sun May 18 17:33:09 GMT 2025","passed","Sun May 18 17:33:09 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the login page has the supposed sidebar menu options","810","testSidebarMenuOptions","Regression","Sun May 18 17:34:59 GMT 2025","passed","Sun May 18 17:35:00 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Firefox","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the opened product name","2356","testProductName","Regression","Sun May 18 17:34:17 GMT 2025","passed","Sun May 18 17:34:20 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Chrome","com.opencart.test.ProductTest","testProductName"
"Verify a registered user can log in","1567","testLogin","Regression","Sun May 18 17:35:16 GMT 2025","passed","Sun May 18 17:35:18 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Edge","com.opencart.test.LoginTest","testLogin"
"TC_02 Verify the Store navigation menu options via dropdown","2365","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:33:53 GMT 2025","passed","Sun May 18 17:33:55 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the opened product breadcrumb path","1937","testProductPath","Regression","Sun May 18 17:34:57 GMT 2025","passed","Sun May 18 17:34:58 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testProductPath"
