"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_04 Verify the 'Components' category dropdown options navigation","1849","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 13:44:19 GMT 2025","passed","Sun May 18 13:44:21 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1624","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:44:19 GMT 2025","passed","Sun May 18 13:44:21 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the successful file uploading on the Apple Cinema page","3537","testAppleCinemaFileUploading","Regression","Sun May 18 13:43:15 GMT 2025","passed","Sun May 18 13:43:18 GMT 2025","com.opencart.test.FileUploadingTest","Regression Test Run on Chrome","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"Verify the opened product name","1813","testProductName","CrossBrowserSuite","Sun May 18 13:46:04 GMT 2025","passed","Sun May 18 13:46:06 GMT 2025","com.opencart.test.ProductTest","EdgeTest","com.opencart.test.ProductTest","testProductName"
"TC_03 Verify the Store navigation menu options without dropdown","1644","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:44:18 GMT 2025","passed","Sun May 18 13:44:20 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","2380","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 13:45:03 GMT 2025","passed","Sun May 18 13:45:06 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the opened product name","2025","testProductName","CrossBrowserSuite","Sun May 18 13:44:35 GMT 2025","passed","Sun May 18 13:44:37 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductName"
"Verify the added item name via cart preview","1420","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 13:44:30 GMT 2025","passed","Sun May 18 13:44:32 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the opened product breadcrumb path","2749","testProductPath","CrossBrowserSuite","Sun May 18 13:45:35 GMT 2025","passed","Sun May 18 13:45:38 GMT 2025","com.opencart.test.ProductTest","FirefoxTest","com.opencart.test.ProductTest","testProductPath"
"TC_04 Verify the 'Components' category dropdown options navigation","2006","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 13:45:47 GMT 2025","passed","Sun May 18 13:45:49 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2348","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 13:45:03 GMT 2025","passed","Sun May 18 13:45:05 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search field visibility","41","testSearchFieldVisibility","CrossBrowserSuite","Sun May 18 13:45:15 GMT 2025","passed","Sun May 18 13:45:15 GMT 2025","com.opencart.test.SearchTest","FirefoxTest","com.opencart.test.SearchTest","testSearchFieldVisibility"
