"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","6","0","Product page","0"
"0","","0","","42","0","Navigation","0"
"0","","0","","6","0","Cart","0"
"0","","0","","4","0","Login","0"
"0","","0","","6","0","Cart preview","0"
"0","","0","","5","0","Search field","0"
