"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the Apple Cinema minimal quantity warning message","2205","testAppleCinemaWarningMessage","Regression","Sat May 17 22:20:07 GMT 2025","passed","Sat May 17 22:20:09 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Chrome","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the opened product breadcrumb path","2076","testProductPath","Regression","Sat May 17 22:20:07 GMT 2025","passed","Sat May 17 22:20:09 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Chrome","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","2288","testNavigationBarMenuWithDropdown","Smoke","Sat May 17 22:19:41 GMT 2025","passed","Sat May 17 22:19:43 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1758","testComponentsDropdownNavigation","Smoke","Sat May 17 22:17:46 GMT 2025","passed","Sat May 17 22:17:47 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","855","testComponentsDropdownNavigation","Smoke","Sat May 17 22:18:47 GMT 2025","passed","Sat May 17 22:18:48 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","1933","testComponentsDropdownNavigation","Smoke","Sat May 17 22:17:46 GMT 2025","passed","Sat May 17 22:17:48 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart","2242","testAddedItemQuantityViaCart","Smoke","Sat May 17 22:18:56 GMT 2025","passed","Sat May 17 22:18:58 GMT 2025","com.opencart.test.CartTest","Smoke Test Run on Firefox","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"TC_04 Verify the 'Components' category dropdown options navigation","2356","testComponentsDropdownNavigation","Smoke","Sat May 17 22:19:41 GMT 2025","passed","Sat May 17 22:19:43 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1896","testNavigationBarMenuWithoutDropdown","Smoke","Sat May 17 22:17:46 GMT 2025","passed","Sat May 17 22:17:47 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product name","1940","testProductName","Smoke","Sat May 17 22:18:59 GMT 2025","passed","Sat May 17 22:19:00 GMT 2025","com.opencart.test.ProductTest","Smoke Test Run on Firefox","com.opencart.test.ProductTest","testProductName"
