"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the login page has the supposed sidebar menu options","639","testSidebarMenuOptions","Regression","Sun May 18 00:55:13 GMT 2025","passed","Sun May 18 00:55:14 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Edge","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the added item name via cart preview","1515","testAddedItemNameViaCartPreview","Regression","Sun May 18 00:55:07 GMT 2025","passed","Sun May 18 00:55:09 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the search field visibility","70","testSearchFieldVisibility","Regression","Sun May 18 00:54:40 GMT 2025","passed","Sun May 18 00:54:40 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Firefox","com.opencart.test.SearchTest","testSearchFieldVisibility"
"TC_03 Verify the Store navigation menu options without dropdown","3138","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 00:52:59 GMT 2025","passed","Sun May 18 00:53:02 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product name","1924","testProductName","Regression","Sun May 18 00:55:13 GMT 2025","passed","Sun May 18 00:55:15 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Edge","com.opencart.test.ProductTest","testProductName"
"TC_04 Verify the 'Components' category dropdown options navigation","2006","testComponentsDropdownNavigation","Smoke","Sun May 18 00:53:56 GMT 2025","passed","Sun May 18 00:53:58 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","858","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:55:32 GMT 2025","passed","Sun May 18 00:55:33 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","2503","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 00:53:00 GMT 2025","passed","Sun May 18 00:53:03 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","2110","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:56:02 GMT 2025","passed","Sun May 18 00:56:04 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product breadcrumb path","1641","testProductPath","Regression","Sun May 18 00:54:56 GMT 2025","passed","Sun May 18 00:54:57 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testProductPath"
"Verify the added item name via cart","1842","testAddedItemNameViaCart","Regression","Sun May 18 00:54:38 GMT 2025","passed","Sun May 18 00:54:40 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the message when the search term does not match any products","775","testMessageForEmptySearchResult","Regression","Sun May 18 00:55:03 GMT 2025","passed","Sun May 18 00:55:04 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Edge","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify the added item name via cart preview","1601","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:55:36 GMT 2025","passed","Sun May 18 00:55:38 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_02 Verify the Store navigation menu options via dropdown","2013","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:56:08 GMT 2025","passed","Sun May 18 00:56:10 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item name via cart","1490","testAddedItemNameViaCart","CrossBrowserSuite","Sun May 18 00:55:36 GMT 2025","passed","Sun May 18 00:55:37 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the Store home page is opened via current URL and the page title","158","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:55:27 GMT 2025","passed","Sun May 18 00:55:27 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_04 Verify the 'Components' category dropdown options navigation","840","testComponentsDropdownNavigation","Smoke","Sun May 18 00:53:11 GMT 2025","passed","Sun May 18 00:53:12 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify a registered user can log in","1510","testLogin","Regression","Sun May 18 00:54:57 GMT 2025","passed","Sun May 18 00:54:58 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Firefox","com.opencart.test.LoginTest","testLogin"
"TC_04 Verify the 'Components' category dropdown options navigation","1404","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:55:27 GMT 2025","passed","Sun May 18 00:55:28 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1505","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:55:27 GMT 2025","passed","Sun May 18 00:55:29 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product name","1770","testProductName","CrossBrowserSuite","Sun May 18 00:55:41 GMT 2025","passed","Sun May 18 00:55:43 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductName"
"TC_02 Verify the Store navigation menu options via dropdown","2822","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:55:27 GMT 2025","passed","Sun May 18 00:55:30 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item name via cart","1433","testAddedItemNameViaCart","Regression","Sun May 18 00:55:03 GMT 2025","passed","Sun May 18 00:55:05 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the added item quantity via cart","1327","testAddedItemQuantityViaCart","Regression","Sun May 18 00:55:08 GMT 2025","passed","Sun May 18 00:55:09 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"TC_04 Verify the 'Components' category dropdown options navigation","758","testComponentsDropdownNavigation","Smoke","Sun May 18 00:54:03 GMT 2025","passed","Sun May 18 00:54:03 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product breadcrumb path","1606","testProductPath","CrossBrowserSuite","Sun May 18 00:55:46 GMT 2025","passed","Sun May 18 00:55:47 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductPath"
