"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a registered user can log in","1442","testLogin","Regression","Sun May 18 17:21:54 GMT 2025","passed","Sun May 18 17:21:55 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Firefox","com.opencart.test.LoginTest","testLogin"
"TC_02 Verify the Store navigation menu options via dropdown","1822","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 17:20:48 GMT 2025","passed","Sun May 18 17:20:50 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","2673","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:20:08 GMT 2025","passed","Sun May 18 17:20:11 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Firefox","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the search result page heading","1085","testSearchResultInPageHeading","Regression","Sun May 18 17:21:25 GMT 2025","passed","Sun May 18 17:21:26 GMT 2025","com.opencart.test.SearchTest","Regression Test Run on Chrome","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_03 Verify the Store navigation menu options without dropdown","1595","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 17:19:39 GMT 2025","passed","Sun May 18 17:19:41 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","2104","testComponentsDropdownNavigation","Smoke","Sun May 18 17:19:39 GMT 2025","passed","Sun May 18 17:19:41 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Chrome","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart preview","1388","testAddedItemQuantityViaCartPreview","Regression","Sun May 18 17:22:07 GMT 2025","passed","Sun May 18 17:22:08 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the added item name via cart preview","2731","testAddedItemNameViaCartPreview","Regression","Sun May 18 17:21:41 GMT 2025","passed","Sun May 18 17:21:44 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify a registered user can log in","1611","testLogin","Regression","Sun May 18 17:21:25 GMT 2025","passed","Sun May 18 17:21:27 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Chrome","com.opencart.test.LoginTest","testLogin"
"Verify the login page has the supposed sidebar menu options","565","testSidebarMenuOptions","Regression","Sun May 18 17:21:28 GMT 2025","passed","Sun May 18 17:21:29 GMT 2025","com.opencart.test.LoginTest","Regression Test Run on Chrome","com.opencart.test.LoginTest","testSidebarMenuOptions"
