"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_03 Verify the Store navigation menu options without dropdown","660","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:18:40 GMT 2025","passed","Mon May 12 22:18:41 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product breadcrumb path","1581","testProductPath","Surefire suite","Mon May 12 22:19:14 GMT 2025","passed","Mon May 12 22:19:15 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","800","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:18:30 GMT 2025","passed","Mon May 12 22:18:31 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart","1333","testAddedItemQuantityViaCart","Surefire suite","Mon May 12 22:19:27 GMT 2025","passed","Mon May 12 22:19:29 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the added item name via cart","1364","testAddedItemNameViaCart","Surefire suite","Mon May 12 22:19:18 GMT 2025","passed","Mon May 12 22:19:20 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify the successful file uploading on the Apple Cinema page","2964","testAppleCinemaFileUploading","Surefire suite","Mon May 12 22:18:50 GMT 2025","passed","Mon May 12 22:18:53 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"Verify the search field visibility","21","testSearchFieldVisibility","Surefire suite","Mon May 12 22:18:59 GMT 2025","passed","Mon May 12 22:18:59 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchFieldVisibility"
"TC_03 Verify the Store navigation menu options without dropdown","677","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:18:37 GMT 2025","passed","Mon May 12 22:18:38 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","821","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:18:23 GMT 2025","passed","Mon May 12 22:18:24 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","760","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:18:27 GMT 2025","passed","Mon May 12 22:18:27 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the login page has the supposed sidebar menu options","481","testSidebarMenuOptions","Surefire suite","Mon May 12 22:19:39 GMT 2025","passed","Mon May 12 22:19:40 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testSidebarMenuOptions"
"Verify the added item quantity via cart preview","1170","testAddedItemQuantityViaCartPreview","Surefire suite","Mon May 12 22:19:31 GMT 2025","passed","Mon May 12 22:19:32 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the Apple Cinema minimal quantity warning message","1754","testAppleCinemaWarningMessage","Surefire suite","Mon May 12 22:19:05 GMT 2025","passed","Mon May 12 22:19:07 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_04 Verify the 'Components' category dropdown options navigation","640","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:18:01 GMT 2025","passed","Mon May 12 22:18:01 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the opened product name","1206","testProductName","Surefire suite","Mon May 12 22:19:10 GMT 2025","passed","Mon May 12 22:19:11 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_04 Verify the 'Components' category dropdown options navigation","777","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:18:04 GMT 2025","passed","Mon May 12 22:18:05 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","624","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:18:34 GMT 2025","passed","Mon May 12 22:18:34 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the search result page heading","858","testSearchResultInPageHeading","Surefire suite","Mon May 12 22:19:02 GMT 2025","passed","Mon May 12 22:19:03 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the message when the search term does not match any products","464","testMessageForEmptySearchResult","Surefire suite","Mon May 12 22:18:55 GMT 2025","passed","Mon May 12 22:18:56 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"TC_04 Verify the 'Components' category dropdown options navigation","844","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:18:08 GMT 2025","passed","Mon May 12 22:18:09 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item name via cart preview","1869","testAddedItemNameViaCartPreview","Surefire suite","Mon May 12 22:19:23 GMT 2025","passed","Mon May 12 22:19:24 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify a registered user can log in","1825","testLogin","Surefire suite","Mon May 12 22:19:35 GMT 2025","passed","Mon May 12 22:19:37 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testLogin"
"TC_04 Verify the 'Components' category dropdown options navigation","754","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:18:11 GMT 2025","passed","Mon May 12 22:18:12 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","1116","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:18:18 GMT 2025","passed","Mon May 12 22:18:20 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Store home page is opened via current URL and the page title","11","testStoreHomePageURLAndTitle","Surefire suite","Mon May 12 22:18:47 GMT 2025","passed","Mon May 12 22:18:47 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_03 Verify the Store navigation menu options without dropdown","529","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:18:43 GMT 2025","passed","Mon May 12 22:18:44 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","745","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:18:15 GMT 2025","passed","Mon May 12 22:18:16 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
