"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the added item name via cart preview","2136","testAddedItemNameViaCartPreview","Regression","Sun May 18 13:25:32 GMT 2025","passed","Sun May 18 13:25:34 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Firefox","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_03 Verify the Store navigation menu options without dropdown","1487","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 13:24:44 GMT 2025","passed","Sun May 18 13:24:45 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item quantity via cart preview","1499","testAddedItemQuantityViaCartPreview","Regression","Sun May 18 13:25:54 GMT 2025","passed","Sun May 18 13:25:55 GMT 2025","com.opencart.test.CartTest","Regression Test Run on Edge","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the opened product breadcrumb path","1376","testProductPath","CrossBrowserSuite","Sun May 18 13:26:33 GMT 2025","passed","Sun May 18 13:26:34 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","1994","testNavigationBarMenuWithDropdown","Smoke","Sun May 18 13:24:44 GMT 2025","passed","Sun May 18 13:24:46 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Store home page is opened via current URL and the page title","115","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 13:26:16 GMT 2025","passed","Sun May 18 13:26:16 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_03 Verify the Store navigation menu options without dropdown","2044","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:26:40 GMT 2025","passed","Sun May 18 13:26:42 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","2118","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 13:26:16 GMT 2025","passed","Sun May 18 13:26:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1750","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:26:59 GMT 2025","passed","Sun May 18 13:27:01 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1976","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:26:47 GMT 2025","passed","Sun May 18 13:26:49 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product breadcrumb path","1792","testProductPath","Regression","Sun May 18 13:25:42 GMT 2025","passed","Sun May 18 13:25:43 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testProductPath"
"TC_03 Verify the Store navigation menu options without dropdown","1011","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 13:26:16 GMT 2025","passed","Sun May 18 13:26:17 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the Apple Cinema minimal quantity warning message","2089","testAppleCinemaWarningMessage","Regression","Sun May 18 13:25:36 GMT 2025","passed","Sun May 18 13:25:38 GMT 2025","com.opencart.test.ProductTest","Regression Test Run on Firefox","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_02 Verify the Store navigation menu options via dropdown","1781","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 13:26:16 GMT 2025","passed","Sun May 18 13:26:17 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1677","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 13:24:44 GMT 2025","passed","Sun May 18 13:24:45 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1412","testNavigationBarMenuWithoutDropdown","Smoke","Sun May 18 13:24:44 GMT 2025","passed","Sun May 18 13:24:45 GMT 2025","com.opencart.test.NavigationTest","Smoke Test Run on Edge","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
