"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","1088","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:08:39 GMT 2025","passed","Mon May 12 22:08:40 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","791","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:08:51 GMT 2025","passed","Mon May 12 22:08:52 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","771","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:08:35 GMT 2025","passed","Mon May 12 22:08:36 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","768","testComponentsDropdownNavigation","Surefire suite","Mon May 12 22:08:27 GMT 2025","passed","Mon May 12 22:08:28 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_02 Verify the Store navigation menu options via dropdown","803","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:08:44 GMT 2025","passed","Mon May 12 22:08:44 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the search result page heading","769","testSearchResultInPageHeading","Surefire suite","Mon May 12 22:09:26 GMT 2025","passed","Mon May 12 22:09:27 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the added item name via cart preview","1299","testAddedItemNameViaCartPreview","Surefire suite","Mon May 12 22:09:48 GMT 2025","passed","Mon May 12 22:09:49 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the opened product name","1627","testProductName","Surefire suite","Mon May 12 22:09:34 GMT 2025","passed","Mon May 12 22:09:36 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductName"
"TC_03 Verify the Store navigation menu options without dropdown","625","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:08:55 GMT 2025","passed","Mon May 12 22:08:56 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item quantity via cart preview","1319","testAddedItemQuantityViaCartPreview","Surefire suite","Mon May 12 22:09:57 GMT 2025","passed","Mon May 12 22:09:58 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify a registered user can log in","1857","testLogin","Surefire suite","Mon May 12 22:10:02 GMT 2025","passed","Mon May 12 22:10:03 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testLogin"
"Verify the successful file uploading on the Apple Cinema page","2859","testAppleCinemaFileUploading","Surefire suite","Mon May 12 22:09:14 GMT 2025","passed","Mon May 12 22:09:16 GMT 2025","com.opencart.test.FileUploadingTest","Surefire test","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"Verify the Store home page is opened via current URL and the page title","13","testStoreHomePageURLAndTitle","Surefire suite","Mon May 12 22:09:10 GMT 2025","passed","Mon May 12 22:09:10 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the search field visibility","26","testSearchFieldVisibility","Surefire suite","Mon May 12 22:09:23 GMT 2025","passed","Mon May 12 22:09:23 GMT 2025","com.opencart.test.SearchTest","Surefire test","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the Apple Cinema minimal quantity warning message","1647","testAppleCinemaWarningMessage","Surefire suite","Mon May 12 22:09:30 GMT 2025","passed","Mon May 12 22:09:32 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_03 Verify the Store navigation menu options without dropdown","631","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:08:59 GMT 2025","passed","Mon May 12 22:09:00 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","690","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:09:07 GMT 2025","passed","Mon May 12 22:09:08 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","675","testNavigationBarMenuWithoutDropdown","Surefire suite","Mon May 12 22:09:03 GMT 2025","passed","Mon May 12 22:09:04 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product breadcrumb path","1551","testProductPath","Surefire suite","Mon May 12 22:09:39 GMT 2025","passed","Mon May 12 22:09:41 GMT 2025","com.opencart.test.ProductTest","Surefire test","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","764","testNavigationBarMenuWithDropdown","Surefire suite","Mon May 12 22:08:48 GMT 2025","passed","Mon May 12 22:08:48 GMT 2025","com.opencart.test.NavigationTest","Surefire test","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item quantity via cart","1362","testAddedItemQuantityViaCart","Surefire suite","Mon May 12 22:09:52 GMT 2025","passed","Mon May 12 22:09:54 GMT 2025","com.opencart.test.CartTest","Surefire test","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the login page has the supposed sidebar menu options","585","testSidebarMenuOptions","Surefire suite","Mon May 12 22:10:07 GMT 2025","passed","Mon May 12 22:10:08 GMT 2025","com.opencart.test.LoginTest","Surefire test","com.opencart.test.LoginTest","testSidebarMenuOptions"
