"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify a registered user can log in","1482","testLogin","CrossBrowserSuite","Sun May 18 00:13:46 GMT 2025","passed","Sun May 18 00:13:47 GMT 2025","com.opencart.test.LoginTest","EdgeTest","com.opencart.test.LoginTest","testLogin"
"Verify the added item quantity via cart","2103","testAddedItemQuantityViaCart","CrossBrowserSuite","Sun May 18 00:13:17 GMT 2025","passed","Sun May 18 00:13:19 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"TC_02 Verify the Store navigation menu options via dropdown","1293","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the successful file uploading on the Apple Cinema page","2983","testAppleCinemaFileUploading","Regression","Sun May 18 00:11:08 GMT 2025","passed","Sun May 18 00:11:11 GMT 2025","com.opencart.test.FileUploadingTest","Regression Test Run on Chrome","com.opencart.test.FileUploadingTest","testAppleCinemaFileUploading"
"TC_02 Verify the Store navigation menu options via dropdown","2446","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:13:35 GMT 2025","passed","Sun May 18 00:13:37 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","2001","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:38 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","3190","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:52 GMT 2025","passed","Sun May 18 00:12:56 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Store home page is opened via current URL and the page title","576","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:12:35 GMT 2025","passed","Sun May 18 00:12:36 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the added item name via cart","1555","testAddedItemNameViaCart","CrossBrowserSuite","Sun May 18 00:12:17 GMT 2025","passed","Sun May 18 00:12:19 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_03 Verify the Store navigation menu options without dropdown","2664","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:12:49 GMT 2025","passed","Sun May 18 00:12:52 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","2113","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:38 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the search field visibility","70","testSearchFieldVisibility","CrossBrowserSuite","Sun May 18 00:13:05 GMT 2025","passed","Sun May 18 00:13:05 GMT 2025","com.opencart.test.SearchTest","FirefoxTest","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the message when the search term does not match any products","1059","testMessageForEmptySearchResult","CrossBrowserSuite","Sun May 18 00:12:13 GMT 2025","passed","Sun May 18 00:12:14 GMT 2025","com.opencart.test.SearchTest","ChromeTest","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify a registered user can log in","1585","testLogin","CrossBrowserSuite","Sun May 18 00:12:17 GMT 2025","passed","Sun May 18 00:12:18 GMT 2025","com.opencart.test.LoginTest","ChromeTest","com.opencart.test.LoginTest","testLogin"
"Verify the added item name via cart preview","1405","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:12:18 GMT 2025","passed","Sun May 18 00:12:20 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"Verify the Store home page is opened via current URL and the page title","99","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:08 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"TC_03 Verify the Store navigation menu options without dropdown","1800","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:38 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","872","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:12:13 GMT 2025","passed","Sun May 18 00:12:14 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the Apple Cinema minimal quantity warning message","1760","testAppleCinemaWarningMessage","CrossBrowserSuite","Sun May 18 00:12:21 GMT 2025","passed","Sun May 18 00:12:23 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the search result page heading","1614","testSearchResultInPageHeading","CrossBrowserSuite","Sun May 18 00:13:42 GMT 2025","passed","Sun May 18 00:13:44 GMT 2025","com.opencart.test.SearchTest","EdgeTest","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"TC_04 Verify the 'Components' category dropdown options navigation","1671","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the message when the search term does not match any products","776","testMessageForEmptySearchResult","CrossBrowserSuite","Sun May 18 00:12:59 GMT 2025","passed","Sun May 18 00:13:00 GMT 2025","com.opencart.test.SearchTest","FirefoxTest","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"Verify the Store home page is opened via current URL and the page title","136","testStoreHomePageURLAndTitle","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:36 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testStoreHomePageURLAndTitle"
"Verify the added item quantity via cart preview","1334","testAddedItemQuantityViaCartPreview","CrossBrowserSuite","Sun May 18 00:13:52 GMT 2025","passed","Sun May 18 00:13:54 GMT 2025","com.opencart.test.CartTest","EdgeTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"TC_03 Verify the Store navigation menu options without dropdown","1301","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product name","1676","testProductName","CrossBrowserSuite","Sun May 18 00:12:23 GMT 2025","passed","Sun May 18 00:12:24 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testProductName"
"Verify the opened product name","1663","testProductName","CrossBrowserSuite","Sun May 18 00:13:23 GMT 2025","passed","Sun May 18 00:13:25 GMT 2025","com.opencart.test.ProductTest","FirefoxTest","com.opencart.test.ProductTest","testProductName"
"Verify the Apple Cinema minimal quantity warning message","2724","testAppleCinemaWarningMessage","CrossBrowserSuite","Sun May 18 00:13:53 GMT 2025","passed","Sun May 18 00:13:56 GMT 2025","com.opencart.test.ProductTest","EdgeTest","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the added item name via cart preview","2002","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:13:14 GMT 2025","passed","Sun May 18 00:13:16 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_04 Verify the 'Components' category dropdown options navigation","1750","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2339","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:12:54 GMT 2025","passed","Sun May 18 00:12:56 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","2014","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:13:35 GMT 2025","passed","Sun May 18 00:13:37 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the opened product name","2097","testProductName","CrossBrowserSuite","Sun May 18 00:13:54 GMT 2025","passed","Sun May 18 00:13:56 GMT 2025","com.opencart.test.ProductTest","EdgeTest","com.opencart.test.ProductTest","testProductName"
"Verify the added item name via cart","2003","testAddedItemNameViaCart","CrossBrowserSuite","Sun May 18 00:13:12 GMT 2025","passed","Sun May 18 00:13:14 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemNameViaCart"
"Verify a registered user can log in","2073","testLogin","CrossBrowserSuite","Sun May 18 00:13:08 GMT 2025","passed","Sun May 18 00:13:10 GMT 2025","com.opencart.test.LoginTest","FirefoxTest","com.opencart.test.LoginTest","testLogin"
"TC_02 Verify the Store navigation menu options via dropdown","2098","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:10 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","2360","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:10 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","4031","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:41 GMT 2025","passed","Sun May 18 00:12:45 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","1719","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_03 Verify the Store navigation menu options without dropdown","1588","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:13:35 GMT 2025","passed","Sun May 18 00:13:37 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_02 Verify the Store navigation menu options via dropdown","1631","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:12:55 GMT 2025","passed","Sun May 18 00:12:57 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the search field visibility","21","testSearchFieldVisibility","CrossBrowserSuite","Sun May 18 00:13:42 GMT 2025","passed","Sun May 18 00:13:42 GMT 2025","com.opencart.test.SearchTest","EdgeTest","com.opencart.test.SearchTest","testSearchFieldVisibility"
"Verify the opened product breadcrumb path","1643","testProductPath","CrossBrowserSuite","Sun May 18 00:13:57 GMT 2025","passed","Sun May 18 00:13:58 GMT 2025","com.opencart.test.ProductTest","EdgeTest","com.opencart.test.ProductTest","testProductPath"
"TC_04 Verify the 'Components' category dropdown options navigation","1498","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:13:03 GMT 2025","passed","Sun May 18 00:13:04 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the Apple Cinema minimal quantity warning message","2079","testAppleCinemaWarningMessage","CrossBrowserSuite","Sun May 18 00:13:21 GMT 2025","passed","Sun May 18 00:13:23 GMT 2025","com.opencart.test.ProductTest","FirefoxTest","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"TC_03 Verify the Store navigation menu options without dropdown","1027","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:12:08 GMT 2025","passed","Sun May 18 00:12:09 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item name via cart","1729","testAddedItemNameViaCart","CrossBrowserSuite","Sun May 18 00:13:47 GMT 2025","passed","Sun May 18 00:13:48 GMT 2025","com.opencart.test.CartTest","EdgeTest","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_03 Verify the Store navigation menu options without dropdown","1569","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:38 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the added item quantity via cart preview","1952","testAddedItemQuantityViaCartPreview","CrossBrowserSuite","Sun May 18 00:13:19 GMT 2025","passed","Sun May 18 00:13:21 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the added item quantity via cart preview","1405","testAddedItemQuantityViaCartPreview","CrossBrowserSuite","Sun May 18 00:12:22 GMT 2025","passed","Sun May 18 00:12:23 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"Verify the search result page heading","836","testSearchResultInPageHeading","CrossBrowserSuite","Sun May 18 00:12:14 GMT 2025","passed","Sun May 18 00:12:15 GMT 2025","com.opencart.test.SearchTest","ChromeTest","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the message when the search term does not match any products","649","testMessageForEmptySearchResult","CrossBrowserSuite","Sun May 18 00:13:41 GMT 2025","passed","Sun May 18 00:13:41 GMT 2025","com.opencart.test.SearchTest","EdgeTest","com.opencart.test.SearchTest","testMessageForEmptySearchResult"
"TC_04 Verify the 'Components' category dropdown options navigation","2316","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:13:34 GMT 2025","passed","Sun May 18 00:13:36 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","2096","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:13:36 GMT 2025","passed","Sun May 18 00:13:38 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"TC_04 Verify the 'Components' category dropdown options navigation","823","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:13:41 GMT 2025","passed","Sun May 18 00:13:42 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the search result page heading","878","testSearchResultInPageHeading","CrossBrowserSuite","Sun May 18 00:13:06 GMT 2025","passed","Sun May 18 00:13:07 GMT 2025","com.opencart.test.SearchTest","FirefoxTest","com.opencart.test.SearchTest","testSearchResultInPageHeading"
