"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_02 Verify the Store navigation menu options via dropdown","2474","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:32:43 GMT 2025","passed","Sun May 18 00:32:45 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the opened product breadcrumb path","1467","testProductPath","CrossBrowserSuite","Sun May 18 00:32:34 GMT 2025","passed","Sun May 18 00:32:35 GMT 2025","com.opencart.test.ProductTest","FirefoxTest","com.opencart.test.ProductTest","testProductPath"
"TC_02 Verify the Store navigation menu options via dropdown","2361","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:19 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the Apple Cinema minimal quantity warning message","1873","testAppleCinemaWarningMessage","CrossBrowserSuite","Sun May 18 00:31:31 GMT 2025","passed","Sun May 18 00:31:33 GMT 2025","com.opencart.test.ProductTest","ChromeTest","com.opencart.test.ProductTest","testAppleCinemaWarningMessage"
"Verify the added item name via cart preview","1562","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:32:55 GMT 2025","passed","Sun May 18 00:32:56 GMT 2025","com.opencart.test.CartTest","EdgeTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_02 Verify the Store navigation menu options via dropdown","1706","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:46 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the added item name via cart","1540","testAddedItemNameViaCart","CrossBrowserSuite","Sun May 18 00:31:27 GMT 2025","passed","Sun May 18 00:31:29 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemNameViaCart"
"TC_03 Verify the Store navigation menu options without dropdown","2296","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:31:58 GMT 2025","passed","Sun May 18 00:32:00 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"Verify the login page has the supposed sidebar menu options","789","testSidebarMenuOptions","CrossBrowserSuite","Sun May 18 00:32:54 GMT 2025","passed","Sun May 18 00:32:55 GMT 2025","com.opencart.test.LoginTest","EdgeTest","com.opencart.test.LoginTest","testSidebarMenuOptions"
"TC_02 Verify the Store navigation menu options via dropdown","1467","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
